Período,Nacional,Caracas,Maracay,"Ciudad 
Guayana","Barcelona-
Pto La Cruz
",Valencia,Barquisimeto,Maracaibo,Mérida,Maturín,San Cristóbal,"Resto 
Nacional"
,,,,,,,,,,,,
2008,"103,1","103,4","102,3","103,4","102,7","102,9",103,"101,8","101,9","103,6","102,9","103,2"
2009,"105,3","105,8",105,"105,3","104,5",105,"105,2","103,8","105,2","106,2","105,8","105,3"
2010,"107,1","108,2",107,"106,6","105,7","106,9","106,8","105,4","106,7","107,6","106,9","107,1"
2011,"108,9","109,9","108,7","108,1","107,6","108,5","108,4","107,5","108,5","109,4","108,7","108,8"
2012,"112,4","113,7",112,"110,8","111,1","112,1","111,3","111,1","111,1","112,5","112,3","112,4"
2013,"115,1","116,3",115,"113,5","113,9","115,1",114,"113,1","114,4","115,6","114,8","115,1"
2014,"116,1","117,1","116,3","115,2","115,3","116,1","115,5","114,2","115,6",117,116,"116,1"
2008,,,,,,,,,,,,
Enero,"117,3","118,2","117,2","115,6","116,1","117,3","116,1","115,4","116,6","118,2","116,9","117,4"
Febrero,"119,4","120,2","119,9","117,2","118,4","119,4","118,2",117,"118,9","120,8",119,"119,7"
Marzo,"121,8","123,2","122,3","120,6","121,3","122,1",121,"119,5","121,8","123,4","121,4","121,5"
Abril,"124,7","125,8","125,7","123,8","124,5","125,1","124,1","122,1","124,9","125,8","124,8","124,6"
Mayo,"127,6","128,5","128,6","126,8","127,1",128,"127,2","125,1","127,5","128,6","127,5","127,5"
Junio,"130,9","131,9","131,6","130,2","130,3","130,7","130,7","129,1","130,1",132,131,"130,8"
Julio,"133,9","135,1","134,7","132,6","133,1","133,7","133,5","131,4","133,1","135,9",134,"133,7"
Agosto,"135,6",137,"137,4","134,8","134,8","135,8","135,2","132,4","135,8","137,9","135,9","135,2"
Septiembre,"137,2",139,"138,9","137,3","136,5",138,"136,7","134,5","137,6","139,2","137,9","136,5"
Octubre,"139,7","142,2","140,9","139,7","139,8","140,2","138,8","137,1","141,3","141,3","140,5","138,7"
Noviembre,"142,5","145,2","143,9","141,9","142,5","142,4","141,7","140,5","144,2","144,2","143,7","141,3"
Diciembre,145,"148,2","146,3","144,9","144,8","145,1",144,"142,9","147,1","147,2","146,8","143,5"
,,,,,,,,,,,,
2009,,,,,,,,,,,,
Enero,"147,6","150,6","149,4",147,"147,4","147,6","147,4","145,3","149,1","149,8","148,8","146,2"
Febrero,148,"151,7","149,6","148,2","147,9","147,9","147,6","145,8","150,6",150,"149,3","146,2"
Marzo,"151,3","154,8","153,6","150,6","151,3","150,6","151,3","148,9","154,4","153,6","153,5","149,6"
Abril,"155,1","158,8","157,6",154,155,"155,1","155,7","152,6","157,8","157,3","156,9","153,3"
Mayo,158,"162,2","160,7",157,"158,1","157,7","159,1","155,7","160,2","160,1","159,4","155,9"
Junio,161,"165,2","164,2",160,"161,1","160,9","162,3","158,6","162,8","163,8","162,5","158,7"
Julio,"163,7","167,4","167,2","162,7","163,9","164,2","165,3","162,7","164,8","167,3","164,7","161,3"
Agosto,"166,5","171,4","170,1","165,6","166,3",167,"167,4","165,1","167,6","170,8","168,2","163,5"
Septiembre,"169,1",174,"173,2","168,2","169,1","170,4","170,6","167,3",172,"173,7","171,2","165,9"
