Country ISO3,Year,#indicator+code,Value
#country+code,#date+year,Indicator Code,#indicator+value+num
ECU,1960,SE.PRM.ENRR,53.364
ECU,1960,SE.PRM.ENRR,53.895
ECU,1960,SE.PRM.ENRR,54.401
ECU,1961,SE.PRM.ENRR,55.305
ECU,1961,SE.PRM.ENRR,55.664
ECU,1961,SE.PRM.ENRR,55.942
ECU,1962,SE.PRM.ENRR,56.213
ECU,1962,SE.PRM.ENRR,56.487
ECU,1962,SE.PRM.ENRR,56.654
ECU,1963,SE.PRM.ENRR,57.152
ECU,1963,SE.PRM.ENRR,57.633
ECU,1963,SE.PRM.ENRR,58.205
ECU,1964,SE.PRM.ENRR,58.837
ECU,1964,SE.PRM.ENRR,59.526
ECU,1964,SE.PRM.ENRR,60.232
ECU,1965,SE.PRM.ENRR,61.559
ECU,1965,SE.PRM.ENRR,62.153
ECU,1965,SE.PRM.ENRR,62.696
ECU,1966,SE.PRM.ENRR,63.191
ECU,1966,SE.PRM.ENRR,63.662
ECU,1966,SE.PRM.ENRR,64.528
ECU,1967,SE.PRM.ENRR,65.171
ECU,1967,SE.PRM.ENRR,65.811
ECU,1967,SE.PRM.ENRR,66.535
ECU,1968,SE.PRM.ENRR,68.056
ECU,1968,SE.PRM.ENRR,68.749
ECU,1968,SE.PRM.ENRR,69.348
ECU,1969,SE.PRM.ENRR,69.625
ECU,1969,SE.PRM.ENRR,70.117
ECU,1969,SE.PRM.ENRR,70.345
ECU,1970,SE.PRM.ENRR,70.757
ECU,1970,SE.PRM.ENRR,71.041
ECU,1970,SE.PRM.ENRR,71.362
ECU,1971,SE.PRM.ENRR,71.681
ECU,1971,SE.PRM.ENRR,72.045
ECU,1971,SE.PRM.ENRR,72.153
ECU,1971,SE.PRM.ENRR,72.463
ECU,1972,SE.PRM.ENRR,72.839
ECU,1972,SE.PRM.ENRR,73.613
ECU,1972,SE.PRM.ENRR,73.975
ECU,1972,SE.PRM.ENRR,74.279
ECU,1973,SE.PRM.ENRR,74.514
ECU,1973,SE.PRM.ENRR,74.689
ECU,1973,SE.PRM.ENRR,74.844
ECU,1973,SE.PRM.ENRR,74.983
ECU,1974,SE.PRM.ENRR,75.184
ECU,1974,SE.PRM.ENRR,75.743
ECU,1974,SE.PRM.ENRR,76.062
ECU,1974,SE.PRM.ENRR,76.369
ECU,1975,SE.PRM.ENRR,76.622
ECU,1975,SE.PRM.ENRR,76.763
ECU,1975,SE.PRM.ENRR,76.789
ECU,1975,SP.DYN.LE00.IN,76.972
ECU,1976,SP.DYN.LE00.IN,77.094
ECU,1976,SP.DYN.LE00.IN,77.297
ECU,1976,SP.DYN.LE00.IN,4618158
ECU,1976,SP.DYN.LE00.IN,4618158
ECU,1977,SP.DYN.LE00.IN,4751507
ECU,1977,SP.DYN.LE00.IN,4751507
ECU,1977,SP.DYN.LE00.IN,4890425
ECU,1977,SP.DYN.LE00.IN,4890425
ECU,1978,SP.DYN.LE00.IN,5034334
ECU,1978,SP.DYN.LE00.IN,5034334
ECU,1978,SP.DYN.LE00.IN,5183283
ECU,1978,SP.DYN.LE00.IN,5183283
ECU,1979,SP.DYN.LE00.IN,5337351
ECU,1979,SP.DYN.LE00.IN,5337351
ECU,1979,SP.DYN.LE00.IN,5495761
ECU,1979,SP.DYN.LE00.IN,5495761
ECU,1980,SP.DYN.LE00.IN,5658446
ECU,1980,SP.DYN.LE00.IN,5658446
ECU,1980,SP.DYN.LE00.IN,5825663
ECU,1980,SP.DYN.LE00.IN,5825663
ECU,1981,SP.DYN.LE00.IN,5997037
ECU,1981,SP.DYN.LE00.IN,5997037
ECU,1981,SP.DYN.LE00.IN,6172215
ECU,1981,SP.DYN.LE00.IN,6172215
ECU,1982,SP.DYN.LE00.IN,6350944
ECU,1982,SP.DYN.LE00.IN,6350944
ECU,1982,SP.DYN.LE00.IN,6533630
ECU,1982,SP.DYN.LE00.IN,6533630
ECU,1983,SP.DYN.LE00.IN,6720443
ECU,1983,SP.DYN.LE00.IN,6720443
ECU,1983,SP.DYN.LE00.IN,6911123
ECU,1983,SP.DYN.LE00.IN,6911123
ECU,1984,SP.DYN.LE00.IN,7105786
ECU,1984,SP.DYN.LE00.IN,7105786
ECU,1984,SP.DYN.LE00.IN,7304349
ECU,1984,SP.DYN.LE00.IN,7304349
ECU,1985,SP.DYN.LE00.IN,7506665
ECU,1985,SP.DYN.LE00.IN,7506665
ECU,1985,SP.DYN.LE00.IN,7712718
ECU,1985,SP.DYN.LE00.IN,7712718
ECU,1986,SP.DYN.LE00.IN,7922490
ECU,1986,SP.DYN.LE00.IN,7922490
ECU,1986,SP.DYN.LE00.IN,8135845
ECU,1986,SP.DYN.LE00.IN,8135845
ECU,1987,SP.DYN.LE00.IN,8352602
ECU,1987,SP.DYN.LE00.IN,8352602
ECU,1987,SP.DYN.LE00.IN,8572607
ECU,1987,SP.DYN.LE00.IN,8572607
